day,attack_records,launched_reported,intercepted_reported,uav_events,missile_events,guided_bomb_events
2023-11-25 00:00:00+00:00,2,76.0,75.0,1,1,0
2023-11-26 00:00:00+00:00,1,9.0,8.0,1,0,0
2023-11-28 00:00:00+00:00,5,5.0,4.0,2,3,0
2023-11-29 00:00:00+00:00,2,24.0,23.0,1,1,0
2023-11-30 00:00:00+00:00,2,28.0,14.0,1,1,0
2023-12-01 00:00:00+00:00,3,28.0,20.0,1,2,0
2023-12-02 00:00:00+00:00,2,12.0,10.0,1,1,0
2023-12-03 00:00:00+00:00,3,14.0,11.0,1,2,0
2023-12-04 00:00:00+00:00,2,24.0,19.0,1,1,0
2023-12-05 00:00:00+00:00,7,30.0,17.0,2,5,0
2023-12-06 00:00:00+00:00,3,50.0,43.0,1,2,0
2023-12-07 00:00:00+00:00,1,18.0,15.0,1,0,0
2023-12-08 00:00:00+00:00,3,32.0,21.0,1,2,0
2023-12-11 00:00:00+00:00,4,28.0,28.0,1,3,0
2023-12-12 00:00:00+00:00,1,15.0,9.0,1,0,0
2023-12-13 00:00:00+00:00,3,62.0,61.0,2,1,0
2023-12-14 00:00:00+00:00,1,1.0,0.0,0,1,0
2023-12-15 00:00:00+00:00,1,14.0,14.0,1,0,0
2023-12-16 00:00:00+00:00,1,31.0,30.0,1,0,0
2023-12-17 00:00:00+00:00,4,24.0,23.0,2,2,0
2023-12-18 00:00:00+00:00,2,6.0,6.0,1,1,0
2023-12-19 00:00:00+00:00,1,2.0,2.0,1,0,0
2023-12-20 00:00:00+00:00,4,57.0,53.0,2,2,0
2023-12-22 00:00:00+00:00,2,37.0,33.0,2,0,0
2023-12-23 00:00:00+00:00,1,1.0,1.0,0,1,0
2023-12-24 00:00:00+00:00,4,18.0,17.0,1,3,0
2023-12-25 00:00:00+00:00,2,32.0,29.0,1,1,0
2023-12-26 00:00:00+00:00,5,69.0,49.0,2,3,0
2023-12-28 00:00:00+00:00,4,47.0,37.0,2,2,0
2023-12-29 00:00:00+00:00,6,122.0,87.0,0,6,0
2023-12-30 00:00:00+00:00,3,17.0,6.0,1,2,0
2023-12-31 00:00:00+00:00,1,49.0,21.0,1,0,0
2024-01-01 00:00:00+00:00,9,147.0,135.0,3,6,0
2024-01-02 00:00:00+00:00,7,105.0,78.0,0,7,0
2024-01-04 00:00:00+00:00,4,8.0,5.0,1,3,0
2024-01-05 00:00:00+00:00,3,32.0,24.0,1,2,0
2024-01-06 00:00:00+00:00,2,2.0,2.0,1,1,0
2024-01-07 00:00:00+00:00,3,32.0,22.0,1,2,0
2024-01-08 00:00:00+00:00,7,59.0,26.0,1,6,0
2024-01-09 00:00:00+00:00,2,2.0,2.0,0,2,0
2024-01-10 00:00:00+00:00,1,1.0,1.0,0,1,0
2024-01-13 00:00:00+00:00,8,42.0,9.0,1,7,0
2024-01-14 00:00:00+00:00,1,1.0,1.0,0,1,0
2024-01-15 00:00:00+00:00,3,4.0,4.0,0,3,0
2024-01-16 00:00:00+00:00,2,2.0,2.0,0,2,0
2024-01-17 00:00:00+00:00,5,24.0,22.0,2,3,0
2024-01-18 00:00:00+00:00,2,35.0,22.0,1,1,0
2024-01-20 00:00:00+00:00,2,10.0,4.0,1,1,0
2024-01-21 00:00:00+00:00,1,1.0,1.0,0,1,0
2024-01-22 00:00:00+00:00,2,9.0,9.0,1,1,0
2024-01-23 00:00:00+00:00,5,41.0,21.0,0,5,0
2024-01-24 00:00:00+00:00,2,4.0,4.0,0,2,0
2024-01-25 00:00:00+00:00,3,19.0,12.0,1,2,0
2024-01-27 00:00:00+00:00,2,5.0,4.0,1,1,0
2024-01-28 00:00:00+00:00,4,14.0,5.0,1,3,0
2024-01-29 00:00:00+00:00,3,12.0,8.0,1,2,0
2024-01-30 00:00:00+00:00,4,39.0,17.0,1,3,0
2024-01-31 00:00:00+00:00,5,27.0,18.0,1,4,0
2024-02-01 00:00:00+00:00,2,5.0,3.0,1,1,0
2024-02-02 00:00:00+00:00,2,25.0,12.0,1,1,0
2024-02-03 00:00:00+00:00,3,17.0,10.0,1,2,0
2024-02-06 00:00:00+00:00,1,1.0,1.0,0,1,0
2024-02-07 00:00:00+00:00,6,64.0,44.0,1,5,0
2024-02-08 00:00:00+00:00,2,18.0,12.0,1,1,0
2024-02-09 00:00:00+00:00,3,18.0,12.0,1,2,0
2024-02-10 00:00:00+00:00,1,31.0,23.0,1,0,0
2024-02-11 00:00:00+00:00,1,45.0,40.0,1,0,0
2024-02-12 00:00:00+00:00,3,18.0,15.0,1,2,0
2024-02-13 00:00:00+00:00,3,25.0,18.0,1,2,0
2024-02-15 00:00:00+00:00,5,26.0,13.0,0,5,0
2024-02-16 00:00:00+00:00,1,1.0,1.0,0,1,0
2024-02-17 00:00:00+00:00,3,3.0,3.0,0,3,0
2024-02-18 00:00:00+00:00,4,24.0,13.0,1,3,0
2024-02-19 00:00:00+00:00,3,6.0,6.0,1,2,0
2024-02-20 00:00:00+00:00,3,26.0,23.0,1,2,0
2024-02-21 00:00:00+00:00,4,25.0,14.0,1,3,0
2024-02-22 00:00:00+00:00,2,11.0,8.0,1,1,0
2024-02-23 00:00:00+00:00,6,39.0,25.0,1,5,0
2024-02-24 00:00:00+00:00,4,18.0,15.0,1,3,0
2024-02-25 00:00:00+00:00,1,18.0,16.0,1,0,0
2024-02-26 00:00:00+00:00,7,24.0,15.0,1,6,0
2024-02-27 00:00:00+00:00,6,21.0,16.0,1,5,0
2024-02-28 00:00:00+00:00,4,12.0,12.0,1,3,0
2024-02-29 00:00:00+00:00,1,2.0,2.0,0,1,0
2024-03-01 00:00:00+00:00,4,11.0,6.0,2,2,0
2024-03-02 00:00:00+00:00,3,21.0,15.0,1,2,0
2024-03-03 00:00:00+00:00,1,1.0,1.0,0,1,0
2024-03-04 00:00:00+00:00,1,1.0,1.0,0,1,0
2024-03-05 00:00:00+00:00,2,23.0,19.0,1,1,0
2024-03-06 00:00:00+00:00,2,43.0,39.0,1,1,0
2024-03-08 00:00:00+00:00,4,41.0,34.0,1,3,0
2024-03-09 00:00:00+00:00,1,15.0,12.0,1,0,0
2024-03-10 00:00:00+00:00,3,46.0,38.0,1,2,0
2024-03-11 00:00:00+00:00,3,17.0,17.0,2,1,0
2024-03-12 00:00:00+00:00,2,9.0,9.0,1,1,0
2024-03-13 00:00:00+00:00,1,1.0,1.0,0,1,0
2024-03-14 00:00:00+00:00,2,16.0,16.0,2,0,0
2024-03-15 00:00:00+00:00,3,35.0,27.0,1,2,0
2024-03-16 00:00:00+00:00,1,2.0,2.0,1,0,0
2024-03-17 00:00:00+00:00,3,24.0,14.0,1,2,0
2024-03-18 00:00:00+00:00,3,29.0,17.0,1,2,0
2024-03-19 00:00:00+00:00,1,3.0,3.0,0,1,0
2024-03-20 00:00:00+00:00,1,2.0,2.0,0,1,0
2024-03-21 00:00:00+00:00,4,34.0,34.0,0,4,0
2024-03-22 00:00:00+00:00,7,151.0,92.0,1,6,0
2024-03-23 00:00:00+00:00,3,40.0,33.0,1,2,0
2024-03-24 00:00:00+00:00,4,59.0,45.0,2,2,0
2024-03-25 00:00:00+00:00,3,12.0,11.0,2,1,0
2024-03-26 00:00:00+00:00,3,15.0,15.0,1,2,0
2024-03-27 00:00:00+00:00,4,16.0,13.0,1,3,0
2024-03-28 00:00:00+00:00,4,33.0,26.0,1,3,0
2024-03-29 00:00:00+00:00,7,101.0,86.0,1,6,0
2024-03-30 00:00:00+00:00,6,20.0,13.0,1,5,0
2024-03-31 00:00:00+00:00,5,28.0,19.0,1,4,0
2024-04-01 00:00:00+00:00,2,2.0,2.0,0,2,0
2024-04-02 00:00:00+00:00,3,12.0,10.0,1,2,0
2024-04-03 00:00:00+00:00,2,7.0,4.0,1,1,0
2024-04-04 00:00:00+00:00,2,21.0,12.0,1,1,0
2024-04-05 00:00:00+00:00,4,19.0,14.0,1,3,0
2024-04-06 00:00:00+00:00,5,40.0,33.0,1,4,0
2024-04-07 00:00:00+00:00,6,22.0,20.0,2,4,0
2024-04-08 00:00:00+00:00,3,27.0,20.0,1,2,0
2024-04-09 00:00:00+00:00,4,27.0,21.0,1,3,0
2024-04-10 00:00:00+00:00,8,27.0,21.0,2,6,0
2024-04-11 00:00:00+00:00,8,85.0,60.0,1,7,0
2024-04-12 00:00:00+00:00,5,22.0,20.0,2,3,0
2024-04-13 00:00:00+00:00,1,1.0,1.0,0,1,0
2024-04-14 00:00:00+00:00,4,17.0,13.0,1,3,0
2024-04-16 00:00:00+00:00,1,9.0,9.0,1,0,0
2024-04-17 00:00:00+00:00,1,1.0,1.0,0,1,0
2024-04-18 00:00:00+00:00,1,13.0,13.0,1,0,0
2024-04-19 00:00:00+00:00,7,41.0,34.0,1,6,0
2024-04-20 00:00:00+00:00,12,18.0,13.0,0,12,0
2024-04-22 00:00:00+00:00,4,12.0,7.0,1,3,0
2024-04-23 00:00:00+00:00,5,21.0,18.0,2,3,0
2024-04-24 00:00:00+00:00,2,3.0,3.0,0,2,0
2024-04-25 00:00:00+00:00,3,3.0,3.0,0,3,0
2024-04-26 00:00:00+00:00,2,2.0,2.0,0,2,0
2024-04-27 00:00:00+00:00,11,39.0,26.0,0,11,0
2024-04-28 00:00:00+00:00,4,12.0,7.0,3,1,0
2024-04-30 00:00:00+00:00,1,2.0,2.0,0,1,0
2024-05-01 00:00:00+00:00,3,4.0,4.0,1,2,0
2024-05-02 00:00:00+00:00,1,1.0,1.0,0,1,0
2024-05-03 00:00:00+00:00,6,6.0,6.0,1,5,0
